Drive homing rate,Resistance formation rate,rate wt,rate dr,rate of function preserving resistance,rate of function disrupting resistance,rate of inds with at least 1 drive copy,ending pop size
0.5,0,0,1,0,0,1,4702
0.5,0.009,0,0.884572,0,0.115428,0.988356,4466
0.51,0.048,0,0.478491,0,0.521509,0.729092,4998
0.69,0.03,0,0.643637,0,0.356363,0.858993,4943
0.69,0.031,0,0.833127,0,0.166873,0.97105,4836
0.69,0.032,0,0.679517,0,0.320483,0.897903,4721
0.69,0.033,0,0.651877,0,0.348123,0.878825,4902
0.69,0.034,0,0.792186,0,0.207814,0.955806,4978
0.69,0.035,0,0.645102,0,0.354898,0.873859,4931
0.69,0.036,0,0.622346,0,0.377654,0.8539,4757
0.69,0.037,0,0.690575,0,0.309425,0.902439,4838
0.69,0.038,0,0.534563,0,0.465437,0.78416,4962
0.69,0.039,0,0.60129,0,0.39871,0.844365,4729
0.51,0.049,0,0.498804,0,0.501196,0.752542,5015
0.69,0.04,0,0.634154,0,0.365846,0.870154,4875
0.69,0.041,0,0.682474,0,0.317526,0.896032,4713
0.69,0.042,0,0.619121,0,0.380879,0.850041,4848
0.69,0.043,0,0.739898,0,0.260102,0.933785,4727
0.69,0.044,0,0.618341,0,0.381659,0.854209,4918
0.69,0.045,0,0.438964,0,0.561036,0.68023,4866
0.69,0.046,0,0.648031,0,0.351969,0.879554,4749
0.69,0.047,0,0.577139,0,0.422861,0.819071,4803
0.69,0.048,0,0.612366,0,0.387634,0.852473,4650
0.69,0.049,0,0.525188,0,0.474812,0.773512,4923
0.51,0.05,0,0.584504,0,0.415496,0.827893,4840
0.69,0.05,0,0.60974,0,0.39026,0.846753,4620
0.7,0,0,1,0,0,1,4733
0.7,0.001,0,1,0,0,1,4648
0.7,0.002,0,0.929136,0,0.0708645,0.992102,4685
0.7,0.003,0,1,0,0,1,4779
0.7,0.004,0,1,0,0,1,4904
0.7,0.005,0,0.989539,0,0.0104607,0.999366,4732
0.7,0.006,0,0.931196,0,0.0688044,0.995965,4709
0.7,0.007,0,0.778894,0,0.221106,0.953451,5027
0.7,0.008,0,0.923003,0,0.0769968,0.993184,4695
0.52,0,0,1,0,0,1,4644
0.7,0.009,0,0.927127,0,0.0728728,0.991575,4748
