Drive homing rate,Resistance formation rate,rate wt,rate dr,rate of function preserving resistance,rate of function disrupting resistance,rate of inds with at least 1 drive copy,ending pop size
0.5,0,0.189848,0.810152,0,0,0.97522,1251
0.5,0.09,0.00294861,0.686605,0.179865,0.130581,0.90059,1187
0.51,0.49,0,0.317884,0.136314,0.545802,0.527808,917
0.69,0.49,0,0.361566,0.0919854,0.546448,0.584699,549
0.7,0,0.0841121,0.915888,0,0,0.993769,321
0.7,0.01,0.0685714,0.917143,0.00571429,0.00857143,0.994286,525
0.7,0.02,0.0604839,0.861559,0.0336022,0.0443548,0.989247,372
0.7,0.03,0.0639659,0.882729,0.021322,0.0319829,0.991471,469
0.7,0.04,0,0.859909,0.0922551,0.047836,0.977221,439
0.7,0.05,0,0.832226,0.10299,0.0647841,0.973422,301
0.7,0.06,0,0.844371,0.0943709,0.0612583,0.983444,302
0.7,0.07,0,0.819149,0.0981087,0.0827423,0.971631,423
0.7,0.08,0,0.800275,0.107438,0.0922865,0.966942,363
0.52,0,0.155914,0.844086,0,0,0.982079,1395
0.7,0.09,0,0.809412,0.0776471,0.112941,0.969412,425
0.7,0.1,0,0.7979,0.0958005,0.106299,0.965879,381
0.7,0.11,0,0.777363,0.079602,0.143035,0.957711,402
0.7,0.12,0,0.757282,0.0970874,0.145631,0.945631,515
0.7,0.13,0,0.730861,0.100478,0.16866,0.92823,418
0.7,0.14,0,0.739955,0.0982143,0.16183,0.930804,448
0.7,0.15,0,0.732941,0.0847059,0.182353,0.929412,425
0.7,0.16,0,0.741935,0.0819892,0.176075,0.938172,372
0.7,0.17,0,0.713235,0.0955882,0.191176,0.904412,408
0.7,0.18,0,0.676344,0.108602,0.215054,0.922581,465
0.52,0.01,0.154399,0.814298,0.0186125,0.0126904,0.978849,1182
0.7,0.19,0,0.671756,0.096374,0.23187,0.875954,524
0.7,0.2,0,0.708791,0.0869963,0.204212,0.90293,546
0.7,0.21,0,0.659353,0.0842956,0.256351,0.875289,433
0.7,0.22,0,0.650685,0.109589,0.239726,0.868493,365
0.7,0.23,0,0.665686,0.0862745,0.248039,0.884314,510
0.7,0.24,0,0.645136,0.111643,0.243222,0.875598,627
0.7,0.25,0,0.60274,0.092955,0.304305,0.83953,511
0.7,0.26,0,0.62995,0.0915842,0.278465,0.84901,404
0.7,0.27,0,0.621777,0.0888252,0.289398,0.859599,349
0.7,0.28,0,0.608108,0.0835381,0.308354,0.850123,407
0.52,0.02,0.0818966,0.806992,0.0771073,0.0340038,0.965517,1044
0.7,0.29,0,0.611429,0.0914286,0.297143,0.842857,350
0.7,0.3,0,0.572052,0.0917031,0.336245,0.834061,229
